recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-005523,7-Sep-22,LEXUS,"Lexus NX350h, Lexus NX250, Lexus NX350, Lexus NX350h",2021 - 2022,"1,937","Due to a software issue, the Lane Tracing Assist (LTA) steering feature may not operate as intended. This may reduce the level of maintaining the vehicle’s position in the centre of a lane. Due to a software issue, the Lane Tracing Assist (LTA) steering feature may not operate as intended. This may reduce the level of maintaining the vehicle’s position in the centre of a lane. What are the hazards? If the LTA steering feature does not operate as intended, this will increase the risk of an accident causing injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005523
REC-005524,12-Sep-22,LEXUS,"NX350h, NX250, NX350, NX350h & NX450h+",2021 - 2022,"1,972","Due to a software issue in the Body Control Module (BCM), the Headlamp and the Daytime Running Lamps (DRL) may remain illuminated simultaneously for 60 seconds when using the Remote Connect Feature. The Remote Connect Feature is only available in the Lexus Connected Services smart phone application to help locate the vehicle by illuminating the headlamps. Note: This condition will revert to normal operation within 60 seconds. Due to a software issue in the Body Control Module (BCM), the Headlamp and the Daytime Running Lamps (DRL) may remain illuminated simultaneously for 60 seconds when using the Remote Connect Feature. The Remote Connect Feature is only available in the Lexus Connected Services smart phone application to help locate the vehicle by illuminating the headlamps. Note: This condition will revert to normal operation within 60 seconds.",https://www.vehiclerecalls.gov.au/recalls/rec-005524
REC-005525,12-Sep-22,LEXUS,"Lexus NX250 (AAZA20R - 2WD), Lexus NX350 (TAZA25R - AWD)",2021 - 2022,958,"Due to a software issue, the Electronic Parking Brake (EPB) may not operate as intended. This could result in the vehicle moving or rolling away if the gear selector is not in the “PARK” position. Due to a software issue, the Electronic Parking Brake (EPB) may not operate as intended. This could result in the vehicle moving or rolling away if the gear selector is not in the “PARK” position. What are the hazards? If the vehicle moves from its parked position while unattended, it may increase the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005525
REC-005526,12-Sep-22,Mercedes-Benz,Sprinter Van,2021,57,"Due to a manufacturing issue, the alternator wiring and the electric steering wiring may not be installed correctly. The wiring harness could be damaged due to being overloaded and could result in a vehicle fire. Due to a manufacturing issue, the alternator wiring and the electric steering wiring may not be installed correctly. The wiring harness could be damaged due to being overloaded and could result in a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users, bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005526
REC-005530,15-Sep-22,JEEP,Grand Cherokee,2018 - 2021,"1,431","Due to a manufacturing defect, the Exhaust Gas Recirculation (EGR) cooler may crack over time. If this occurs, preheated vaporised coolant will build up inside the engine air intake. This could result in combustion potentially leading to a vehicle fire. Due to a manufacturing defect, the Exhaust Gas Recirculation (EGR) cooler may crack over time. If this occurs, preheated vaporised coolant will build up inside the engine air intake. This could result in combustion potentially leading to a vehicle fire. What are the hazards? A vehicle fire could increase the risk of injury or death to vehicle occupants, other road users and bystanders, and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-005530
REC-005532,26-Sep-22,HYUNDAI,Santa Fe (DM) and ix35 2014~2015MY,2014 - 2017,"21,943","Due to a manufacturing defect, the circuit board in the Anti-Lock Braking System (ABS) module may short circuit when the components are exposed to moisture. This could result in a vehicle fire even when the vehicle is turned off. Note: The short circuit does not affect the functioning of the brake system. Due to a manufacturing defect, the circuit board in the Anti-Lock Braking System (ABS) module may short circuit when the components are exposed to moisture. This could result in a vehicle fire even when the vehicle is turned off. Note: The short circuit does not affect the functioning of the brake system.",https://www.vehiclerecalls.gov.au/recalls/rec-005532
REC-005535,29-Sep-22,HYUNDAI,Venue (QX),2020 - 2022,"15,080","Due to a manufacturing issue, the seat belt pre-tensioner inflator may fracture when deployed in the event of an accident. Due to a manufacturing issue, the seat belt pre-tensioner inflator may fracture when deployed in the event of an accident. What are the hazards? If the seat belt pre-tensioner inflator fractures, metal fragments may be propelled at high speed towards the vehicle occupants and could cause serious injury.",https://www.vehiclerecalls.gov.au/recalls/rec-005535
REC-005537,10-Oct-22,BMW,"G07 X7, 2019 - 2021",2019 - 2021,4,"Due to a manufacturing issue, the compression springs of the seat locking mechanisms in the third row may not have been installed correctly. In the event of an accident or hard braking, unrestrained luggage could become loose and the rear seat also could collapse towards the passengers. Due to a manufacturing issue, the compression springs of the seat locking mechanisms in the third row may not have been installed correctly. In the event of an accident or hard braking, unrestrained luggage could become loose and the rear seat also could collapse towards the passengers. What are the hazards? In the event of an accident or hard breaking, the loose items in the luggage area could transform into lethal projectiles resulting in injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-005537
REC-005540,12-Oct-22,Mercedes-Benz,Vito,2015 - 2016,"7,036","Due to a software issue, the rear-view camera may not display the rear-view image as intended. Due to a software issue, the rear-view camera may not display the rear-view image as intended. What are the hazards? If the rear-view camera display does not display the rear-view image when reversing the vehicle, it could increase the risk of an accident, causing serious injury or death to any persons located behind the vehicle.",https://www.vehiclerecalls.gov.au/recalls/rec-005540
REC-005542,17-Oct-22,Toyota,Yaris Hybrid (MXPH10R),2020,298,"Due to a software error, during sudden acceleration the Hybrid System may fail to engage the limp mode safety feature of the vehicle. This could cause warning lights to illuminate and result in sudden loss of motive power. Due to a software error, during sudden acceleration the Hybrid System may fail to engage the limp mode safety feature of the vehicle. This could cause warning lights to illuminate and result in sudden loss of motive power. What are the hazards? A loss of motive power while driving increases the risk of an accident, causing serious injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-005542
